Inserted globZ      for the first time with LINE: 3!
Inserted a          for the first time with LINE: 6!
Inserted b          for the first time with LINE: 6!
Inserted c          for the first time with LINE: 7!
Inserted d          for the first time with LINE: 8!
Inserted e          for the first time with LINE: 8!
Found d             again at LINE 9!
Found d             again at LINE 10!
Found a             again at LINE 10!
Found b             again at LINE 10!
Found a             again at LINE 11!
Found b             again at LINE 11!
Found a             again at LINE 12!
Found a             again at LINE 13!
Found b             again at LINE 13!
Found b             again at LINE 14!
Found a             again at LINE 16!
Found b             again at LINE 16!
