TOKEN: KW_IMPORT       	VALUE: import                                   	LINE: 1
TOKEN: CLASS_IMPORTED  	VALUE: "ClasseTeste/ClasseTeste.hen"            	LINE: 1
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 1
TOKEN: KW_INT          	VALUE: int                                      	LINE: 3
TOKEN: IDENTIFIER      	VALUE: globZ                                    	LINE: 3
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 3
TOKEN: KW_FUNCTION     	VALUE: fnc                                      	LINE: 5
TOKEN: KW_MAIN         	VALUE: main                                     	LINE: 5
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 5
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 5
TOKEN: OPEN_BRACE      	VALUE: {                                        	LINE: 5
TOKEN: KW_INT          	VALUE: int                                      	LINE: 6
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 6
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 6
TOKEN: INT_CONST       	VALUE: 1                                        	LINE: 6
TOKEN: SINGLE_COMMA    	VALUE: ,                                        	LINE: 6
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 6
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 6
TOKEN: INT_CONST       	VALUE: 2                                        	LINE: 6
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 6
TOKEN: KW_INT          	VALUE: int                                      	LINE: 7
TOKEN: IDENTIFIER      	VALUE: c                                        	LINE: 7
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 7
TOKEN: INT_CONST       	VALUE: 0                                        	LINE: 7
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 7
TOKEN: KW_INT          	VALUE: int                                      	LINE: 8
TOKEN: IDENTIFIER      	VALUE: d                                        	LINE: 8
TOKEN: SINGLE_COMMA    	VALUE: ,                                        	LINE: 8
TOKEN: IDENTIFIER      	VALUE: e                                        	LINE: 8
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 8
TOKEN: INT_CONST       	VALUE: 1                                        	LINE: 8
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 8
TOKEN: IDENTIFIER      	VALUE: d                                        	LINE: 9
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 9
TOKEN: INT_CONST       	VALUE: 4                                        	LINE: 9
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 9
TOKEN: IDENTIFIER      	VALUE: d                                        	LINE: 10
TOKEN: ASSIGN_VALUE    	VALUE: =                                        	LINE: 10
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 10
TOKEN: OP_ADD          	VALUE: -                                        	LINE: 10
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 10
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 10
TOKEN: KW_IF           	VALUE: if                                       	LINE: 11
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 11
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 11
TOKEN: OP_RELATIVE     	VALUE: >                                        	LINE: 11
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 11
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 11
TOKEN: OPEN_BRACE      	VALUE: {                                        	LINE: 11
TOKEN: KW_RETURN       	VALUE: rtn                                      	LINE: 12
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 12
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 12
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 12
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 12
TOKEN: CLOSE_BRACE     	VALUE: }                                        	LINE: 13
TOKEN: KW_ELSE         	VALUE: els                                      	LINE: 13
TOKEN: KW_IF           	VALUE: if                                       	LINE: 13
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 13
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 13
TOKEN: OP_RELATIVE     	VALUE: <                                        	LINE: 13
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 13
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 13
TOKEN: OPEN_BRACE      	VALUE: {                                        	LINE: 13
TOKEN: KW_RETURN       	VALUE: rtn                                      	LINE: 14
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 14
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 14
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 14
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 14
TOKEN: CLOSE_BRACE     	VALUE: }                                        	LINE: 15
TOKEN: KW_RETURN       	VALUE: rtn                                      	LINE: 16
TOKEN: OPEN_PAREN      	VALUE: (                                        	LINE: 16
TOKEN: IDENTIFIER      	VALUE: a                                        	LINE: 16
TOKEN: OP_ADD          	VALUE: +                                        	LINE: 16
TOKEN: IDENTIFIER      	VALUE: b                                        	LINE: 16
TOKEN: CLOSE_PAREN     	VALUE: )                                        	LINE: 16
TOKEN: FINISH_LINECODE 	VALUE: ;                                        	LINE: 16
TOKEN: CLOSE_BRACE     	VALUE: }                                        	LINE: 17
