MESSAGE: general import execution                           	LINE: 1
MESSAGE: single general import found                        	LINE: 3
MESSAGE: no access specified                                	LINE: 3
MESSAGE: type int found                                     	LINE: 3
MESSAGE: simple start assignment found                      	LINE: 3
MESSAGE: type void found                                    	LINE: 5
MESSAGE: no params left                                     	LINE: 5
MESSAGE: no access specified                                	LINE: 6
MESSAGE: type int found                                     	LINE: 6
MESSAGE: int value expression                               	LINE: 6
MESSAGE: int value expression                               	LINE: 6
MESSAGE: simple compose assignment found                    	LINE: 6
MESSAGE: multiple compose start assignments found           	LINE: 6
MESSAGE: no access specified                                	LINE: 7
MESSAGE: type int found                                     	LINE: 7
MESSAGE: int value expression                               	LINE: 7
MESSAGE: simple compose start assignment found              	LINE: 7
MESSAGE: no access specified                                	LINE: 8
MESSAGE: type int found                                     	LINE: 8
MESSAGE: int value expression                               	LINE: 8
MESSAGE: simple compose assignment found                    	LINE: 8
MESSAGE: multiple start simple assignments found            	LINE: 8
MESSAGE: int value expression                               	LINE: 9
MESSAGE: simple compose assignment found                    	LINE: 9
MESSAGE: identifier expression                              	LINE: 10
MESSAGE: identifier expression                              	LINE: 10
MESSAGE: add expression                                     	LINE: 10
MESSAGE: simple compose assignment found                    	LINE: 10
MESSAGE: identifier expression                              	LINE: 11
MESSAGE: identifier expression                              	LINE: 11
MESSAGE: relative expression                                	LINE: 11
MESSAGE: identifier expression                              	LINE: 12
MESSAGE: return statement achieved                          	LINE: 12
MESSAGE: simple function body                               	LINE: 13
MESSAGE: identifier expression                              	LINE: 13
MESSAGE: identifier expression                              	LINE: 13
MESSAGE: relative expression                                	LINE: 13
MESSAGE: identifier expression                              	LINE: 14
MESSAGE: return statement achieved                          	LINE: 14
MESSAGE: simple function body                               	LINE: 15
MESSAGE: no else found                                      	LINE: 16
MESSAGE: if statement found                                 	LINE: 16
MESSAGE: compose else found                                 	LINE: 16
MESSAGE: if statement found                                 	LINE: 16
MESSAGE: identifier expression                              	LINE: 16
MESSAGE: identifier expression                              	LINE: 16
MESSAGE: add expression                                     	LINE: 16
MESSAGE: return statement achieved                          	LINE: 16
MESSAGE: simple function body                               	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: complex function body                              	LINE: 17
MESSAGE: main function found                                	LINE: 17
